OrigLabel,Name 
2,Planum Polare 
3,Temporal Pole 
4,Frontal Pole 
5,Temporal Fusiform anterior 
6,Frontal Pole 
7,Precuneous 
8,Juxtapositional Lobule 
9,Supramarginal posterior 
10,Middle Temporal posterior 
11,Temporal Fusiform anterior 
12,Planum Temporale 
13,Caudate 
15,Supramarginal anterior 
16,Occipital Pole 
17,Paracingulate 
18,Inferior Temporal posterior 
19,Caudate 
20,Thalamus 
21,Middle Frontal 
23,Postcentral 
24,Lateral Occipital superior 
25,Precuneous 
26,Frontal Pole 
27,Insular 
28,Insular 
29,Insular 
30,Middle Frontal 
31,Middle Temporal posterior 
32,Lateral Occipital superior 
33,Thalamus 
34,Putamen 
36,Paracingulate 
37,Precuneous 
38,Middle Temporal anterior 
39,Temporal Pole 
41,Angular 
42,Middle Frontal 
43,Postcentral 
44,Occipital Pole 
45,Insular 
46,Pallidum 
47,Middle Frontal 
48,Lateral Occipital superior 
50,Cingulate posterior 
51,Inferior Temporal temporooccipital 
52,Superior Parietal Lobule 
53,Middle Frontal 
54,Parietal Operculum 
55,Occipital Fusiform 
56,Frontal Pole 
57,Inferior Temporal posterior 
58,Inferior Temporal posterior 
59,Frontal Pole 
61,Postcentral 
62,Superior Temporal posterior 
63,Frontal Pole 
64,Hippocampus 
65,Middle Frontal 
67,Intracalcarine 
68,Lateral Occipital superior 
69,Temporal Fusiform posterior 
70,Precentral 
72,Paracingulate 
73,Frontal Medial 
74,Lateral Occipital inferior 
75,Central Opercular 
76,Putamen 
77,Cingulate posterior 
78,Lateral Occipital inferior 
79,Hippocampus 
80,Lateral Occipital superior 
81,Frontal Pole 
82,Thalamus 
83,Superior Parietal Lobule 
84,Middle Temporal temporooccipital 
85,Temporal Occipital Fusiform 
86,Frontal Pole 
87,Temporal Pole 
88,Lateral Occipital inferior 
89,Insular 
90,Precentral 
91,Cingulate anterior 
92,Frontal Pole 
93,Lingual 
94,Temporal Fusiform posterior 
95,Occipital Pole 
96,Middle Temporal posterior 
97,Superior Frontal 
98,Precentral 
99,Frontal Pole 
100,Lateral Occipital superior 
101,Subcallosal 
103,Frontal Orbital 
104,Postcentral 
105,Postcentral 
106,Frontal Pole 
107,Lateral Occipital inferior 
108,Superior Frontal 
109,Lingual 
110,Postcentral 
111,Parietal Operculum 
112,Frontal Pole 
113,Temporal Pole 
114,Occipital Pole 
115,Precentral 
116,Middle Temporal temporooccipital 
117,Frontal Pole 
118,Cingulate anterior 
119,Occipital Fusiform 
120,Inferior Temporal temporooccipital 
121,Frontal Orbital 
123,Frontal Pole 
124,Parahippocampal posterior 
125,Parahippocampal posterior 
126,Supramarginal posterior 
127,Precuneous 
128,Middle Temporal anterior 
129,Frontal Pole 
130,Superior Frontal 
131,Angular 
132,Superior Parietal Lobule 
133,Inferior Frontal pars triangularis
134,Central Opercular 
135,Precentral 
136,Supramarginal anterior 
137,Lateral Occipital superior 
138,Lingual 
139,Superior Frontal 
140,Lateral Occipital inferior 
141,Precentral 
142,Frontal Orbital 
143,Inferior Temporal posterior 
144,Inferior Frontal pars triangularis
147,Occipital Pole 
148,Occipital Pole 
149,Frontal Pole 
150,Parietal Operculum 
152,Frontal Pole 
153,Occipital Pole 
154,Pallidum 
155,Postcentral 
156,Middle Frontal 
157,Occipital Fusiform 
159,Paracingulate 
160,Heschl's 
161,Lateral Occipital superior 
162,Temporal Occipital Fusiform 
163,Thalamus 
164,Superior Parietal Lobule 
165,Frontal Pole 
166,Middle Temporal temporooccipital 
167,Lateral Occipital superior 
168,Temporal Fusiform posterior 
169,Superior Frontal 
170,Frontal Pole 
171,Cingulate anterior 
172,Lingual 
174,Temporal Pole 
175,Postcentral 
176,Lateral Occipital superior 
178,Planum Temporale 
179,Superior Temporal posterior 
180,Precentral 
181,Lateral Occipital superior 
182,Cingulate posterior 
183,Temporal Occipital Fusiform 
184,Precuneous 
185,Frontal Pole 
187,Temporal Pole 
188,Lateral Occipital superior 
